objectid,cl,logradouro,codbairro,bairro,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação
1286467,106955,RUA JOAO DE PAULA FONSECA,049,Jardim América            ,2,TERRITORIAL,100,1500,87129.79,87129.79,COMPRA E VENDA,2010
1286468,027938,RUA DA CORAGEM,074,Vila da Penha             ,2,TERRITORIAL,100,277.5,32838.38,32838.38,COMPRA E VENDA,2010
1286469,024331,ETR DOS BANDEIRANTES,122,Taquara                   ,3,TERRITORIAL,50.386666,24361,289279.076666,3296058.343333,COMPRA E VENDA,2010
1286470,161984,RUA JERSON POMPEU PINHEIRO,128,Barra da Tijuca           ,2,TERRITORIAL,100,898,1634351.02,1634351.02,COMPRA E VENDA,2010
1286471,213843,RUA DINA SFAT,128,Barra da Tijuca           ,2,TERRITORIAL,100,664.5,837594.09,837594.09,COMPRA E VENDA,2010
1286472,223511,RUA PAULO SANTOS,128,Barra da Tijuca           ,2,TERRITORIAL,100,806.5,1209742.28,1209742.28,COMPRA E VENDA,2010
1286473,014316,ETR BOCA DO MATO,130,Vargem Pequena            ,2,TERRITORIAL,0.77,7967,54152,7032727.27,COMPRA E VENDA,2010
1286474,095471,AVN DAS AMERICAS,132,Recreio dos Bandeirantes  ,6,TERRITORIAL,50,2471.666666,6343369.343333,12686738.686666,COMPRA E VENDA,2010
1286475,221036,RUA MARCOS PAULO (ATOR),132,Recreio dos Bandeirantes  ,5,TERRITORIAL,50,601.6,322387.738,644775.476,COMPRA E VENDA,2010
1286476,227611,RUA CARLOS ALFREDO MIRANDA,132,Recreio dos Bandeirantes  ,4,TERRITORIAL,50,537.4,326950.87,653901.74,COMPRA E VENDA,2010
1286477,004796,RUA SOLD MAURICIO RODRIGUES,144,Campo Grande,2,TERRITORIAL,100,270,37649.02,37649.02,COMPRA E VENDA,2010
1286478,057828,RUA PEDRO LEAO VELOSO,144,Campo Grande,2,TERRITORIAL,100,240,40805.31,40805.31,COMPRA E VENDA,2010
1286479,163253,RUA FERNANDO SABOYA DE FIUZA,144,Campo Grande,3,TERRITORIAL,100,153,26629.8,26629.8,COMPRA E VENDA,2010
1286480,199315,RUA HOLANDA,144,Campo Grande,4,TERRITORIAL,100,153,24678.475,24678.475,COMPRA E VENDA,2010
1286481,212043,RUA BOCAIUVA CUNHA ( DEP),144,Campo Grande,2,TERRITORIAL,100,128,10123.56,10123.56,COMPRA E VENDA,2010
1286482,112961,RUA ILDA RODRIGUES SOUZA,147,Cosmos                    ,3,TERRITORIAL,100,252,26982.786666,26982.786666,COMPRA E VENDA,2010
1286483,200808,RUA LARANJA LIMA,147,Cosmos                    ,3,TERRITORIAL,100,153,22120.86,22120.86,COMPRA E VENDA,2010
1286484,222224,RUA C PAA 11712/PAL 45370,149,Santa Cruz                ,2,TERRITORIAL,100,225,12518.35,12518.35,COMPRA E VENDA,2010
1286485,213538,RUA JACKIE PARIS (CANTOR),151,Guaratiba                 ,2,TERRITORIAL,100,225,14181.47,14181.47,COMPRA E VENDA,2010
1286486,067462,RUA CANDIDO DE OLIVEIRA,007,Rio Comprido              ,2,TERRITORIAL,100,421.5,38776.325,38776.325,COMPRA E VENDA,2011
1286487,067710,RUA CARDOSO JUNIOR,017,Laranjeiras               ,3,TERRITORIAL,100,680.333333,146666.66,146666.66,COMPRA E VENDA,2011
1286488,083360,AVN VIEIRA SOUTO,025,Ipanema                   ,5,TERRITORIAL,20.002,451,6207800.008,30969136.504,COMPRA E VENDA,2011
1286489,066647,AVN BARTOLOMEU MITRE,026,Leblon                    ,2,TERRITORIAL,100,284,22000000,22000000,COMPRA E VENDA,2011
1286490,086264,RUA RODOLFO ALBINO,026,Leblon                    ,2,TERRITORIAL,46.105,,2985352.17,23887586.76,COMPRA E VENDA,2011
1286491,067520,ETR DA CANOA,031,São Conrado               ,2,TERRITORIAL,100,1386,209999.99,209999.99,COMPRA E VENDA,2011
1286492,080549,RUA SABOIA LIMA,033,Tijuca                    ,2,TERRITORIAL,12.5,702,521486.315,4144351.38,COMPRA E VENDA,2011
1286493,059667,ETR QUEBRA CANGALHA,034,Alto da Boa Vista         ,2,TERRITORIAL,100,3265,360000.01,360000.01,COMPRA E VENDA,2011
1286494,083451,BLV VINTE E OITO DE SETEMBRO,036,Vila Isabel               ,3,TERRITORIAL,100,118,266666.663333,266666.663333,COMPRA E VENDA,2011
1286495,021477,AVN GASPAR DE LEMOS,047,Parada de Lucas           ,2,TERRITORIAL,0.97,42030,3858.82,541146.035,COMPRA E VENDA,2011
1286496,066548,RUA BARBOSA DA SILVA,059,Riachuelo                 ,2,TERRITORIAL,100,1127.5,115494,115494,COMPRA E VENDA,2011
1286497,204909,RUA BRAVO,072,Vila Kosmos               ,2,TERRITORIAL,100,23,22464.26,22464.26,COMPRA E VENDA,2011
1286498,030429,AVN MINIST EDGARD ROMERO,084,Vaz Lobo                  ,2,TERRITORIAL,100,4690,476263.33,476263.33,COMPRA E VENDA,2011
1286499,062562,RUA SAO BENTO,005,Centro                    ,3,TERRITORIAL,100,273,5750000.01,5750000.01,COMPRA E VENDA,2010
1286500,088880,RUA ALMTE BALTAZAR,010,São Cristóvão             ,2,TERRITORIAL,100,2040,313980.44,313980.44,COMPRA E VENDA,2010
1286501,043562,RUA VISC DE SANTA ISABEL,036,Vila Isabel               ,2,TERRITORIAL,100,167,189003.52,189003.52,COMPRA E VENDA,2010
1286502,035238,ETR CEL PEDRO CORREIA,115,Jacarepaguá               ,2,TERRITORIAL,100,3402.5,603805.155,603805.155,COMPRA E VENDA,2010
1286503,120212,RUA AROAZES,115,Jacarepaguá               ,5,TERRITORIAL,1.718,3000,25556.444,1655322.07,COMPRA E VENDA,2010
1286504,115345,RUA GAL OLIVIO UZEDA,119,Curicica                  ,2,TERRITORIAL,100,360,84196.6,84196.6,COMPRA E VENDA,2010
1286505,037127,ETR RODRIGUES CALDAS,122,Taquara                   ,3,TERRITORIAL,20,638.333333,51536.353333,257681.766666,COMPRA E VENDA,2010
1286506,048801,ETR MAPUA,122,Taquara                   ,2,TERRITORIAL,20,706.5,56406.375,282031.875,COMPRA E VENDA,2010
1286507,218370,RUA ALEXANDRE M DE CASTRO FILHO,122,Taquara                   ,3,TERRITORIAL,0.526666,17682,2429.7,428715.383333,COMPRA E VENDA,2010
1286508,218743,RUA JOSE MARIA RODRIGUES,128,Barra da Tijuca           ,2,TERRITORIAL,100,600,720000,720000,COMPRA E VENDA,2010
1286509,137562,RUA PAULO ROBERTO MATHEUS,130,Vargem Pequena            ,2,TERRITORIAL,26.99,10008,31314.68,116023.2,COMPRA E VENDA,2010
1286510,220947,RUA C PAA 11715/PAL 45384,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,50,525,185588.39,371176.78,COMPRA E VENDA,2010
1286511,097113,AVN ALBERICO DINIZ,137,Jardim Sulacap            ,128,TERRITORIAL,0.554296,8257,59985.230234,11015683.164218,COMPRA E VENDA,2010
1286512,026427,RUA ITAQUE,143,Santíssimo                ,2,TERRITORIAL,37.5,240,4639.79,12345.87,COMPRA E VENDA,2010
1286513,040477,RUA TEIXEIRA CAMPOS,143,Santíssimo                ,2,TERRITORIAL,100,225,9909.71,9909.71,COMPRA E VENDA,2010
1286514,030940,RUA MARIO BARBOSA,144,Campo Grande,2,TERRITORIAL,100,400,49069.67,49069.67,COMPRA E VENDA,2010
1286515,181172,RUA RENATO GABIZO,144,Campo Grande,2,TERRITORIAL,100,304,48668.25,48668.25,COMPRA E VENDA,2010
1286516,197863,RUA JAIR DA SILVA RIBAS,144,Campo Grande,2,TERRITORIAL,100,225,33975.95,33975.95,COMPRA E VENDA,2010
1286517,221275,RUA SANTIAGO ILIDIO ANDRADE(REPOR),144,Campo Grande,2,TERRITORIAL,50,360,12088.36,24176.72,COMPRA E VENDA,2010
1286518,222026,RUA FABIO PENNA DA VEIGA,144,Campo Grande,3,TERRITORIAL,100,288.333333,43560.086666,43560.086666,COMPRA E VENDA,2010
1286519,228023,RUA 3 PAA 12034/PAL 46683,144,Campo Grande,3,TERRITORIAL,100,359.333333,28667.006666,28667.006666,COMPRA E VENDA,2010
1286520,200758,RUA ACEROLA,147,Cosmos                    ,6,TERRITORIAL,100,153,22120.86,22120.86,COMPRA E VENDA,2010
1286521,120444,RUA VIA SERV PAL 22469,151,Guaratiba                 ,2,TERRITORIAL,50,14770,85338.845,170677.72,COMPRA E VENDA,2010
1286522,130104,RUA DOS CONSTRUTORES,151,Guaratiba                 ,2,TERRITORIAL,100,10575,262171.69,262171.69,COMPRA E VENDA,2010
1286523,073353,RUA HADDOCK LOBO,009,Estácio                   ,4,TERRITORIAL,26,2437.5,70251.5875,723344.88,COMPRA E VENDA,2011
1286524,063883,RUA SAO LUIZ GONZAGA,010,São Cristóvão             ,3,TERRITORIAL,100,125,57906.636666,57906.636666,COMPRA E VENDA,2011
1286525,066761,RUA BENJAMIM CONSTANT,016,Glória                    ,2,TERRITORIAL,100,299.5,1250000.005,1250000.005,COMPRA E VENDA,2011
1286526,081083,RUA SAO CLEMENTE,020,Botafogo                  ,3,TERRITORIAL,100,241,1985064.75,1985064.75,COMPRA E VENDA,2011
1286527,086934,RUA IPOSEIRA,031,São Conrado               ,2,TERRITORIAL,100,1947,939999.995,939999.995,COMPRA E VENDA,2011
1286528,037101,RUA ROCHA MIRANDA,033,Tijuca                    ,2,TERRITORIAL,83.335,586.5,164353.62,197496.45,COMPRA E VENDA,2011
1286529,032391,AVN EDISON PASSOS,034,Alto da Boa Vista         ,2,TERRITORIAL,50,33746,302920,605840.02,COMPRA E VENDA,2011
1286530,046433,RUA MISAEL DE MENDONCA,047,Parada de Lucas           ,5,TERRITORIAL,73.186,116364,22062.414,196252.888,COMPRA E VENDA,2011
1286531,151977,RUA NEY ARMANDO MEZIAT,099,Jardim Guanabara          ,2,TERRITORIAL,100,360,117216.8,117216.8,COMPRA E VENDA,2010
1286532,202192,AVN 4 PAA 10292/PAL 38883,115,Jacarepaguá               ,2,TERRITORIAL,100,15963,1048670.1,1048670.1,COMPRA E VENDA,2010
1286533,115881,RUA DA MIRAGEM,119,Curicica                  ,2,TERRITORIAL,25,392,29352.95,117411.8,COMPRA E VENDA,2010
1286534,036954,ETR DO RIO GRANDE,122,Taquara                   ,2,TERRITORIAL,60,1405.5,126551.025,409895.085,COMPRA E VENDA,2010
1286535,037267,RUA DAS ROSAS,125,Vila Valqueire            ,3,TERRITORIAL,100,627,114300.013333,114300.013333,COMPRA E VENDA,2010
1286536,024331,ETR DOS BANDEIRANTES,130,Vargem Pequena            ,2,TERRITORIAL,100,2432.5,73622.415,73622.415,COMPRA E VENDA,2010
1286537,219923,RUA THAYS PESSOTO,130,Vargem Pequena            ,3,TERRITORIAL,100,342.333333,206971.553333,206971.553333,COMPRA E VENDA,2010
1286538,024331,ETR DOS BANDEIRANTES,131,Vargem Grande             ,3,TERRITORIAL,39.636666,14335.333333,113736.01,1748113.473333,COMPRA E VENDA,2010
1286539,101295,SRV PAS 2 PAL 19170,131,Vargem Grande             ,6,TERRITORIAL,3.048333,10503.166666,94440.98,3391838.943333,COMPRA E VENDA,2010
1286540,138511,VIA SERV PAL 20758,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,1.8,10000,80735.8,4485322.22,COMPRA E VENDA,2010
1286541,196501,RUA ALBERTO CAVALCANTI,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,66.67,627,400000,599970,COMPRA E VENDA,2010
1286542,153759,RUA SILVIO PERDIGAO,139,Realengo                  ,3,TERRITORIAL,83.333333,244.666666,34052.933333,40896.503333,COMPRA E VENDA,2010
1286543,037077,ETR RIO SAO PAULO,144,Campo Grande,2,TERRITORIAL,100,372,10492.75,10492.75,COMPRA E VENDA,2010
1286544,171496,RUA COLOMBIA,144,Campo Grande,2,TERRITORIAL,100,139,22956.72,22956.72,COMPRA E VENDA,2010
1286545,212035,RUA DARCY RIBEIRO (EDUCADOR),144,Campo Grande,2,TERRITORIAL,100,135,10640.07,10640.07,COMPRA E VENDA,2010
1286546,221291,RUA ELIAKIM ARAUJO (JORN),144,Campo Grande,2,TERRITORIAL,50,362,4074.86,8149.72,COMPRA E VENDA,2010
1286547,034058,ETR DA PEDRA,149,Santa Cruz                ,2,TERRITORIAL,100,2960.5,19618.015,19618.015,COMPRA E VENDA,2010
1286548,031690,ETR DO MORGADO,151,Guaratiba                 ,2,TERRITORIAL,2.515,18983,130577.2,5192041.95,COMPRA E VENDA,2010
1286549,031765,ETR MORRO CAVADO,151,Guaratiba                 ,4,TERRITORIAL,2.485,24647.5,29404.7,1907994.755,COMPRA E VENDA,2010
1286550,135939,RUA JOAQUIM DE CARVALHO,151,Guaratiba                 ,3,TERRITORIAL,100,360,20968.88,20968.88,COMPRA E VENDA,2010
1286551,067835,AVN CARLOS PEIXOTO,020,Botafogo                  ,2,TERRITORIAL,100,9924.5,4352768.005,4352768.005,COMPRA E VENDA,2011
1286552,077685,RUA MUNIZ BARRETO,020,Botafogo                  ,2,TERRITORIAL,100,171,1985064.75,1985064.75,COMPRA E VENDA,2011
1286553,089888,RUA CEL RIBEIRO GOMES,031,São Conrado               ,2,TERRITORIAL,100,579,200000.005,200000.005,COMPRA E VENDA,2011
1286554,101386,RUA GABRIEL GARCIA MORENO,031,São Conrado               ,3,TERRITORIAL,100,2333.333333,383333.34,383333.34,COMPRA E VENDA,2011
1286555,061069,AVN PRES VARGAS,047,Parada de Lucas           ,18,TERRITORIAL,100,1054.444444,15663.558333,15663.558333,COMPRA E VENDA,2011
1286556,043315,RUA OTRANTO,048,Vigário Geral             ,3,TERRITORIAL,36.7,1723.333333,80145.783333,236497.913333,COMPRA E VENDA,2011
1286557,074526,AVN JOAO RIBEIRO,056,Tomás Coelho              ,2,TERRITORIAL,100,105.5,10469.37,10469.37,COMPRA E VENDA,2011
1286558,072736,RUA GETULIO,065,Cachambi                  ,6,TERRITORIAL,1.761666,10,255027.436666,14575666.921666,COMPRA E VENDA,2011
1286559,170316,RUA SALOMAO FILHO,090,Marechal Hermes           ,10,TERRITORIAL,0.21,1143,300.52,143104.76,COMPRA E VENDA,2011
1286560,174979,RUA ENEIDA DE MORAIS,100,Jardim Carioca            ,3,TERRITORIAL,100,417.333333,118636.66,118636.66,COMPRA E VENDA,2011
1286561,005462,RUA ALTEIA,102,Moneró                    ,2,TERRITORIAL,100,360,85756.105,85756.105,COMPRA E VENDA,2011
1286562,041590,ETR GOVERN CHAGAS FREITAS,102,Moneró                    ,2,TERRITORIAL,100,593.5,196866.07,196866.07,COMPRA E VENDA,2011
1286563,077743,RUA NAIR,042,Olaria                    ,6,TERRITORIAL,100,360,63758.01,63758.01,COMPRA E VENDA,2010
1286564,204909,RUA BRAVO,072,Vila Kosmos               ,2,TERRITORIAL,75,39330.5,66402.815,124864.175,COMPRA E VENDA,2010
1286565,050898,AVN FRANCISCO ALVES,099,Jardim Guanabara          ,2,TERRITORIAL,100,879.5,350044.685,350044.685,COMPRA E VENDA,2010
1286566,188748,RUA LILIAN LEMMERTZ,115,Jacarepaguá               ,3,TERRITORIAL,100,225,104163.33,104163.33,COMPRA E VENDA,2010
1286567,143313,RUA SERICITA,120,Freguesia (Jacarepaguá)   ,2,TERRITORIAL,100,226.5,119139.86,119139.86,COMPRA E VENDA,2010
1286568,021493,ETR DO ENGENHO VELHO,122,Taquara                   ,2,TERRITORIAL,52.14,2467,85442.205,392732.145,COMPRA E VENDA,2010
1286569,034827,RUA PINTO TELES,124,Praça Seca                ,2,TERRITORIAL,100,1084.5,179838.21,179838.21,COMPRA E VENDA,2010
1286570,120469,AVN PREF DULCIDIO CARDOSO,128,Barra da Tijuca           ,2,TERRITORIAL,100,1264,4010993.33,4010993.33,COMPRA E VENDA,2010
1286571,214452,RUA DEBORAH OEI PRINCE(BAILARINA),128,Barra da Tijuca           ,2,TERRITORIAL,100,600,899994.265,899994.265,COMPRA E VENDA,2010
1286572,127209,RUA MARILDA CAVALCANTI HORTA,130,Vargem Pequena            ,2,TERRITORIAL,75,231,7825.185,10319.68,COMPRA E VENDA,2010
1286573,009571,RUA ZENITILDES ALVES MEIRA,131,Vargem Grande             ,3,TERRITORIAL,3.906666,10020,37046.263333,1020057.73,COMPRA E VENDA,2010
1286574,095588,AVN D PLT 51 55 12915,132,Recreio dos Bandeirantes  ,8,TERRITORIAL,54.8925,2647.25,857625.63375,1375807.98,COMPRA E VENDA,2010
1286575,227652,RUA FRANCISCO GROSS,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,50,545,326999.015,653998.03,COMPRA E VENDA,2010
1286576,165704,PRC FEDERICO FELLINI,141,Bangu,2,TERRITORIAL,100,245.5,42635.885,42635.885,COMPRA E VENDA,2010
1286577,040873,ETR DO TINGUI,144,Campo Grande,2,TERRITORIAL,100,367.5,9607.145,9607.145,COMPRA E VENDA,2010
1286578,141192,RUA ITUMBIARA,144,Campo Grande,2,TERRITORIAL,100,169.5,28007.19,28007.19,COMPRA E VENDA,2010
1286579,215459,RUA FERNANDO LYRA ( MIN DA JUST),144,Campo Grande,2,TERRITORIAL,100,225,33975.95,33975.95,COMPRA E VENDA,2010
1286580,221218,RUA JORN GENETON MORAES NETO,144,Campo Grande,2,TERRITORIAL,50,366.5,3871.11,7742.22,COMPRA E VENDA,2010
1286581,035170,ETR PROF BRANT HORA,151,Guaratiba                 ,6,TERRITORIAL,91.721666,624.166666,140722.278333,142874.591666,COMPRA E VENDA,2010
1286582,062620,TRV SAO DOMINGOS,005,Centro                    ,3,TERRITORIAL,100,34.666666,1815000.003333,1815000.003333,COMPRA E VENDA,2011
1286583,070235,RUA DOUTOR JULIO OTONI,014,Santa Teresa              ,3,TERRITORIAL,100,719.666666,169999.993333,169999.993333,COMPRA E VENDA,2011
1286584,035584,RUA MINIST VIRIATO VARGAS,034,Alto da Boa Vista         ,3,TERRITORIAL,100,431.666666,121585.66,121585.66,COMPRA E VENDA,2011
1286585,063602,RUA JULIO MARIA,040,Bonsucesso                ,2,TERRITORIAL,6.92,770,11245.3,162504.34,COMPRA E VENDA,2011
1286586,063933,AVN DOM HELDER CAMARA,053,Del Castilho              ,2,TERRITORIAL,0.49,5268,2523.73,515046.94,COMPRA E VENDA,2011
1286587,021816,RUA EULINA RIBEIRO,066,Engenho de Dentro         ,7,TERRITORIAL,14.824285,3732.285714,182549.915714,19822980.028571,COMPRA E VENDA,2011
1286588,071605,RUA FERNAO CARDIM,066,Engenho de Dentro         ,23,TERRITORIAL,0.198695,,126959.920434,63633602.779565,COMPRA E VENDA,2011
1286589,091066,RUA ALPHONSUS DE GUIMARAES,076,Irajá                     ,2,TERRITORIAL,100,90,9242.83,9242.83,COMPRA E VENDA,2011
1286590,011718,RUA ANTONIO BADAJOS,088,Osvaldo Cruz              ,2,TERRITORIAL,100,418.5,42593.36,42593.36,COMPRA E VENDA,2011
1286591,027276,RUA JOAO VICENTE,088,Osvaldo Cruz              ,4,TERRITORIAL,100,498.25,155309.095,155309.095,COMPRA E VENDA,2011
1286592,043695,RUA DOM ANTONIO DE MACEDO,099,Jardim Guanabara          ,2,TERRITORIAL,25,666,33086.97,132347.88,COMPRA E VENDA,2011
1286593,149856,RUA AGOSTINHO DOS SANTOS,099,Jardim Guanabara          ,2,TERRITORIAL,10,361,15610.48,156104.8,COMPRA E VENDA,2011
1286594,019174,ETR DO DENDE,101,Tauá                      ,2,TERRITORIAL,100,281,34594.385,34594.385,COMPRA E VENDA,2011
1286595,047605,RUA MINHO,101,Tauá                      ,2,TERRITORIAL,59.625,404.5,26753.955,53047.81,COMPRA E VENDA,2011
1286596,016105,RUA DIONISIO MARTINS,106,Guadalupe                 ,2,TERRITORIAL,75,312,11691.895,15589.195,COMPRA E VENDA,2011
1286597,087049,AVN BRASIL,106,Guadalupe                 ,4,TERRITORIAL,100,25599,693811.8925,693811.8925,COMPRA E VENDA,2011
1286598,036988,AVN CHRISOSTOMO PIMENTEL OLIVEIRA,114,Pavuna                    ,2,TERRITORIAL,100,240,120729.02,120729.02,COMPRA E VENDA,2011
1286599,036954,ETR DO RIO GRANDE,115,Jacarepaguá               ,3,TERRITORIAL,3.966666,3240,17939.143333,452247.2,COMPRA E VENDA,2011
1286600,048793,RUA IPADU,115,Jacarepaguá               ,2,TERRITORIAL,0.89,10890,2401.09,269785.395,COMPRA E VENDA,2011
1286601,049163,RUA TIMBOACU,115,Jacarepaguá               ,5,TERRITORIAL,93.75,673.75,394730.4125,414560.1675,COMPRA E VENDA,2011
1286602,059170,RUA RODOLFO DE CARVALHO,115,Jacarepaguá               ,2,TERRITORIAL,5.63,4000,64440.8,1144596.8,COMPRA E VENDA,2011
1286603,120188,RUA LEONARDO VILASBOAS,115,Jacarepaguá               ,3,TERRITORIAL,100,3243.333333,647084.203333,647084.203333,COMPRA E VENDA,2011
1286604,120287,RUA CARMO DO CAJURU,115,Jacarepaguá               ,2,TERRITORIAL,14.29,456,27896.08,195214,COMPRA E VENDA,2011
1286605,160465,AVN IMPERATRIZ LEOPOLDINA,115,Jacarepaguá               ,3,TERRITORIAL,61.753333,11350,1956776.13,3021765.12,COMPRA E VENDA,2011
1286606,187419,RUA ARUEIRA,115,Jacarepaguá               ,2,TERRITORIAL,100,675,168092.61,168092.61,COMPRA E VENDA,2011
1286607,100560,AVN CIDADE DE DEUS,118,Cidade de Deus            ,2,TERRITORIAL,100,10085,99991.545,99991.545,COMPRA E VENDA,2011
1286608,115345,RUA GAL OLIVIO UZEDA,119,Curicica                  ,4,TERRITORIAL,100,360,96989.33,96989.33,COMPRA E VENDA,2011
1286609,115683,RUA CAMPINAS DO SUL,119,Curicica                  ,5,TERRITORIAL,100,468.8,46662.598,46662.598,COMPRA E VENDA,2011
1286610,023408,ETR DO GABINAL,120,Freguesia (Jacarepaguá)   ,10,TERRITORIAL,96.667,453,119537.158,122788.334,COMPRA E VENDA,2011
1286611,213330,RUA ANIBAL MACHADO,121,Pechincha                 ,2,TERRITORIAL,100,600,114855.21,114855.21,COMPRA E VENDA,2011
1286612,024331,ETR DOS BANDEIRANTES,122,Taquara                   ,8,TERRITORIAL,38.1525,28952.75,1299825.7975,112651262.22125,COMPRA E VENDA,2011
1286613,048942,ETR BOIUNA,122,Taquara                   ,3,TERRITORIAL,37.106666,3997.333333,273064.13,608913.57,COMPRA E VENDA,2011
1286614,048983,ETR MACEMBU,122,Taquara                   ,2,TERRITORIAL,100,197.5,57457.23,57457.23,COMPRA E VENDA,2011
1286615,149799,RUA TARITUBA,122,Taquara                   ,2,TERRITORIAL,100,140,37848.135,37848.135,COMPRA E VENDA,2011
1286616,218362,RUA RUBENS PORTO,122,Taquara                   ,3,TERRITORIAL,20.766666,666.666666,36374.813333,178062.576666,COMPRA E VENDA,2011
1286617,015388,RUA RENATO MEIRA LIMA,123,Tanque                    ,3,TERRITORIAL,100,636.666666,111385.72,111385.72,COMPRA E VENDA,2011
1286618,013821,RUA BARONESA,124,Praça Seca                ,2,TERRITORIAL,100,2376,101750.945,101750.945,COMPRA E VENDA,2011
1286619,037267,RUA DAS ROSAS,125,Vila Valqueire            ,2,TERRITORIAL,100,683,151169.99,151169.99,COMPRA E VENDA,2011
1286620,053652,AVN JAMBEIRO,125,Vila Valqueire            ,6,TERRITORIAL,100,360,138842.858333,138842.858333,COMPRA E VENDA,2011
1286621,124693,RUA ARCOZELO,125,Vila Valqueire            ,2,TERRITORIAL,100,225,109996.74,109996.74,COMPRA E VENDA,2011
1286622,208058,RUA ORLANDO VILLAS BOAS,127,Itanhangá                 ,6,TERRITORIAL,100,1195.166666,731337.648333,731337.648333,COMPRA E VENDA,2011
1286623,009308,RUA ALDO BONADEI,128,Barra da Tijuca           ,2,TERRITORIAL,15.85,525,639831.175,4036789.735,COMPRA E VENDA,2011
1286624,088104,RUA NOEL NUTELS,128,Barra da Tijuca           ,2,TERRITORIAL,8.33,840,282875.01,3395858.465,COMPRA E VENDA,2011
1286625,091330,AVN LUCIO COSTA,128,Barra da Tijuca           ,29,TERRITORIAL,4.130689,43442.586206,1124009.2,818647596.081724,COMPRA E VENDA,2011
1286626,095471,AVN DAS AMERICAS,128,Barra da Tijuca           ,3,TERRITORIAL,100,1240.333333,1451189.996666,1451189.996666,COMPRA E VENDA,2011
1286627,014647,RUA BULHOES MARCIAL,048,Vigário Geral             ,2,TERRITORIAL,100,624,16660.84,16660.84,COMPRA E VENDA,2011
1286628,011411,RUA ANALIA FRANCO,078,Campinho                  ,3,TERRITORIAL,100,390,63570.023333,63570.023333,COMPRA E VENDA,2011
1286629,015933,RUA CANDIDO BENICIO,078,Campinho                  ,2,TERRITORIAL,100,695,73914.29,73914.29,COMPRA E VENDA,2011
1286630,039958,RUA SOUTO,082,Cascadura                 ,2,TERRITORIAL,62.5,804,46173.815,78388.1,COMPRA E VENDA,2011
1286631,027276,RUA JOAO VICENTE,083,Madureira                 ,2,TERRITORIAL,100,360,63235.96,63235.96,COMPRA E VENDA,2011
1286632,091637,RUA PIMENTA BUENO,085,Turiaçú                   ,3,TERRITORIAL,100,339.333333,16762.836666,16762.836666,COMPRA E VENDA,2011
1286633,034553,RUA PEREIRA DE FIGUEIREDO,088,Osvaldo Cruz              ,2,TERRITORIAL,100,543,109520.48,109520.48,COMPRA E VENDA,2011
1286634,167833,RUA PAULO PRADO(ESCRITOR),088,Osvaldo Cruz              ,3,TERRITORIAL,3.663333,1496.333333,46255.866666,560065.493333,COMPRA E VENDA,2011
1286635,018598,RUA CURUCA,098,Freguesia (Ilha)          ,2,TERRITORIAL,100,350,100173.08,100173.08,COMPRA E VENDA,2011
1286636,024604,RUA FRANCISCO DA COSTA,099,Jardim Guanabara          ,2,TERRITORIAL,10,764.5,26216.95,262169.5,COMPRA E VENDA,2011
1286637,151969,RUA SIDNEY MILLER,099,Jardim Guanabara          ,2,TERRITORIAL,10,360,15336.61,153366.1,COMPRA E VENDA,2011
1286638,005355,AVN DO MAGISTERIO,102,Moneró                    ,2,TERRITORIAL,100,411,121301.31,121301.31,COMPRA E VENDA,2011
1286639,189738,RUA AMADEU JOAO PENZIN,114,Pavuna                    ,2,TERRITORIAL,100,168,22246.68,22246.68,COMPRA E VENDA,2011
1286640,021337,RUA ANDRE ROCHA,115,Jacarepaguá               ,2,TERRITORIAL,100,705,185272.83,185272.83,COMPRA E VENDA,2011
1286641,120196,RUA FRANCISCO DE PAULA,115,Jacarepaguá               ,2,TERRITORIAL,0.49,6000,4292.83,798681.075,COMPRA E VENDA,2011
1286642,120261,RUA CAPELA NOVA,115,Jacarepaguá               ,6,TERRITORIAL,14.29,1164.666666,57719.946666,403918.45,COMPRA E VENDA,2011
1286643,033589,ETR CURIPOS,116,Anil                      ,3,TERRITORIAL,81,606.666666,72686.346666,86576.173333,COMPRA E VENDA,2011
1286644,223933,RUA GELTON PACIELLO DA MOTTA,116,Anil                      ,3,TERRITORIAL,100,363.333333,58911.94,58911.94,COMPRA E VENDA,2011
1286645,114918,RUA MANICARIA,119,Curicica                  ,2,TERRITORIAL,100,360,86622.21,86622.21,COMPRA E VENDA,2011
1286646,115220,RUA DA CONSAGRACAO,119,Curicica                  ,2,TERRITORIAL,100,292.5,76119.975,76119.975,COMPRA E VENDA,2011
1286647,115261,RUA MANDINA,119,Curicica                  ,2,TERRITORIAL,100,499.5,168906.495,168906.495,COMPRA E VENDA,2011
1286648,032516,RUA GUILHERME MOREIRA,120,Freguesia (Jacarepaguá)   ,2,TERRITORIAL,100,310,126376.48,126376.48,COMPRA E VENDA,2011
1286649,033902,ETR DO PAU FERRO,120,Freguesia (Jacarepaguá)   ,2,TERRITORIAL,51.535,1858,273628.105,678993.785,COMPRA E VENDA,2011
